FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1389807|Lotnon|Unknown|GU|66|Guam|010|131531N|1444032E|13.2586111|144.6755556|||||15|49|Merizo|02/06/1981|
1389808|Lujuna Point|Cape|GU|66|Guam|010|133052N|1445437E|13.5144444|144.9102778|||||0|0|Pati Point|02/06/1981|
1389809|Lulog|Area|GU|66|Guam|010|131604N|1444026E|13.2677778|144.6738889|||||54|177|Merizo|02/06/1981|
1389810|Lumico|Area|GU|66|Guam|010|132614N|1444450E|13.4372222|144.7472222|||||45|148|Hagatna|02/06/1981|
1389811|Luminao Reef|Bar|GU|66|Guam|010|132752N|1443838E|13.4644444|144.6438889|||||0|0|Apra Harbor|02/06/1981|
1389812|Lumuna|Summit|GU|66|Guam|010|133051N|1445330E|13.5141667|144.8916667|||||164|538|Dededo|02/06/1981|
1389813|Lupog|Populated Place|GU|66|Guam|010|133249N|1445443E|13.5469444|144.9119444|||||175|574|Pati Point|02/06/1981|
1389814|Maagas River|Stream|GU|66|Guam|010|132108N|1444345E|13.3522222|144.7291667|132108N|1444345E|13.3522222|144.7291667|9|30|Talofofo|02/06/1981|
1389815|Mount Macajna|Summit|GU|66|Guam|010|132712N|1444406E|13.4533333|144.735|||||195|640|Hagatna|02/06/1981|
1389816|Machadgan Point|Cape|GU|66|Guam|010|131734N|1443920E|13.2927778|144.6555556|||||0|0|Agat|02/06/1981|
1389817|Machanage Aspaile|Unknown|GU|66|Guam|010|131736N|1443946E|13.2933333|144.6627778|||||57|187|Agat|02/06/1981|
1389818|Mount Machanao|Summit|GU|66|Guam|010|133837N|1445130E|13.6436111|144.8583333|||||160|525|Ritidian Point|02/06/1981|
1389819|Machaute|Populated Place|GU|66|Guam|010|132802N|1444721E|13.4672222|144.7891667|||||63|207|Hagatna|02/06/1981|
1389820|Macheche|Area|GU|66|Guam|010|133013N|1444936E|13.5036111|144.8266667|||||74|243|Dededo|02/06/1981|
1389821|Machecho|Area|GU|66|Guam|010|131540N|1444344E|13.2611111|144.7288889|||||46|151|Inarajan|02/06/1981|
1389822|Madofan River|Stream|GU|66|Guam|010|132004N|1443838E|13.3344444|144.6438889|132004N|1443838E|13.3344444|144.6438889|0|0|Agat|02/06/1981|
1389823|Madog|Unknown|GU|66|Guam|010|131728N|1444012E|13.2911111|144.67|||||99|325|Merizo|02/06/1981|
1389824|Madog River|Stream|GU|66|Guam|010|131749N|1443950E|13.2969444|144.6638889|131716N|1444054E|13.2877778|144.6816667|10|33|Agat|02/06/1981|
1389825|Maemong River|Stream|GU|66|Guam|010|132156N|1444242E|13.3655556|144.7116667|132156N|1444242E|13.3655556|144.7116667|56|184|Talofofo|02/06/1981|
1389826|Mafnas Nete|Area|GU|66|Guam|010|132722N|1444734E|13.4561111|144.7927778|||||30|98|Hagatna|02/06/1981|
1389827|Magellan Monument|Park|GU|66|Guam|010|131750N|1443938E|13.2972222|144.6605556|||||0|0|Agat|02/06/1981|
1389828|Magpo|Area|GU|66|Guam|010|132200N|1443857E|13.3666667|144.6491667|||||0|0|Agat|02/06/1981|
1389829|Magpogugae|Ridge|GU|66|Guam|010|131545N|1444201E|13.2625|144.7002778|||||123|404|Inarajan|02/06/1981|
1389830|Maguagua|Area|GU|66|Guam|010|132500N|1444233E|13.4166667|144.7091667|||||103|338|Talofofo|02/06/1981|
1389831|Magugun|Area|GU|66|Guam|010|131755N|1443958E|13.2986111|144.6661111|||||5|16|Agat|02/06/1981|
1389832|Mahgiae|Area|GU|66|Guam|010|132715N|1444506E|13.4541667|144.7516667|||||40|131|Hagatna|02/06/1981|
1389833|Mahlac River|Stream|GU|66|Guam|010|132108N|1444346E|13.3522222|144.7294444|132108N|1444346E|13.3522222|144.7294444|9|30|Talofofo|02/06/1981|
1389834|Maimai|Area|GU|66|Guam|010|132639N|1444638E|13.4441667|144.7772222|||||25|82|Hagatna|02/06/1981|
1389835|Maina|Populated Place|GU|66|Guam|010|132757N|1444405E|13.4658333|144.7347222|||||82|269|Hagatna|02/06/1981|04/21/2008
1389836|Maina Spring|Spring|GU|66|Guam|010|132750N|1444357E|13.4638889|144.7325|||||191|627|Hagatna|02/06/1981|
1389837|Maite|Populated Place|GU|66|Guam|010|132829N|1444550E|13.4747222|144.7638889|||||31|102|Hagatna|02/06/1981|04/21/2008
1389838|Majaga|Basin|GU|66|Guam|010|131901N|1444549E|13.3169444|144.7636111|||||95|312|Talofofo|02/06/1981|
1389839|Majagmag|Unknown|GU|66|Guam|010|131725N|1443922E|13.2902778|144.6561111|||||0|0|Merizo|02/06/1981|
1389840|Majulosna|Area|GU|66|Guam|010|132502N|1444327E|13.4172222|144.7241667|||||169|554|Hagatna|02/06/1981|
1389841|Malaa|Area|GU|66|Guam|010|132609N|1444126E|13.4358333|144.6905556|||||75|246|Apra Harbor|02/06/1981|
1389842|Malaja River|Stream|GU|66|Guam|010|131952N|1444330E|13.3311111|144.725|131952N|1444330E|13.3311111|144.725|84|276|Talofofo|02/06/1981|
1389843|Malang|Area|GU|66|Guam|010|132641N|1444515E|13.4447222|144.7541667|||||56|184|Hagatna|02/06/1981|
